director_name,actor_1_name,actor_2_name,actor_3_name,Genres,movie_title,comb
Roseanne Liang, Chloë Grace Moretz,Taylor John Smith,Beulah Koale,Horror Action War,shadow in the cloud, Chloë Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
Ramin Bahrani, Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Crime Drama,the white tiger, Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Ramin Bahrani Crime Drama
Doug Liman, Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,Comedy Crime Drama,locked down, Anne Hathaway Chiwetel Ejiofor Stephen Merchant Doug Liman Comedy Crime Drama
Simon Stone, Carey Mulligan,Ralph Fiennes,Lily James,Drama History,the dig, Carey Mulligan Ralph Fiennes Lily James Simon Stone Drama History
Mikael Håfström, Anthony Mackie,Damson Idris,Emily Beecham,Thriller Action Science Fiction,outside the wire, Anthony Mackie Damson Idris Emily Beecham Mikael Håfström Thriller Action Science Fiction
, Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Action Thriller Crime,the marksman,
Nate Parker, Nate Parker,Omari Hardwick,Theo Rossi,Drama,american skin, Nate Parker Omari Hardwick Theo Rossi Nate Parker Drama
Alex McAulay, Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Drama Thriller Crime,don't tell a soul, Jack Dylan Grazer Fionn Whitehead Rainn Wilson Alex McAulay Drama Thriller Crime
Gabriela Cowperthwaite, Jason Segel,Dakota Johnson,Casey Affleck,Drama Comedy Romance,our friend, Jason Segel Dakota Johnson Casey Affleck Gabriela Cowperthwaite Drama Comedy Romance
Conor Allyn, Jake Allyn,Frank Grillo,Jorge A. Jiménez,Drama Action History,no man's land, Jake Allyn Frank Grillo Jorge A. Jiménez Conor Allyn Drama Action History
Alex Ranarivelo, Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Action Drama,born a champion, Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
Mike P. Nelson, Charlotte Vega,Adain Bradley,Bill Sage,Horror Thriller,wrong turn, Charlotte Vega Adain Bradley Bill Sage Mike P. Nelson Horror Thriller
Glenda Ivin, Naomi Watts,Andrew Lincoln,Jacki Weaver,Drama,penguin bloom, Naomi Watts Andrew Lincoln Jacki Weaver Glenda Ivin Drama
John Lee Hancock, Denzel Washington,Rami Malek,Jared Leto,Thriller Crime Drama,the little things, Denzel Washington Rami Malek Jared Leto John Lee Hancock Thriller Crime Drama
Jude Weng, Kea Peahu,Alex Aiono,Lindsay Watson,Action Adventure Comedy Family,finding 'ohana, Kea Peahu Alex Aiono Lindsay Watson Jude Weng Action Adventure Comedy Family
Chloé Zhao, Frances McDormand,David Strathairn,Linda May,Drama,nomadland, Frances McDormand David Strathairn Linda May Chloé Zhao Drama
Sam Levinson, Zendaya,John David Washington,unknown,Romance Drama,malcolm & marie, Zendaya John David Washington unknown Sam Levinson Romance Drama
Fisher Stevens, Justin Timberlake,Juno Temple,Alisha Wainwright,Drama,palmer, Justin Timberlake Juno Temple Alisha Wainwright Fisher Stevens Drama
Viggo Mortensen, Viggo Mortensen,Lance Henriksen,Terry Chen,Crime Drama Thriller,falling, Viggo Mortensen Lance Henriksen Terry Chen Viggo Mortensen Crime Drama Thriller
Mike Cahill, Owen Wilson,Salma Hayek,unknown,Science Fiction Romance Drama,bliss, Owen Wilson Salma Hayek unknown Mike Cahill Science Fiction Romance Drama
